,global_fit2,local_fit2
[1],0.00700523,0.00733143
[2],0.00667535,0.0070109
[3],0.00660158,0.00678035
[4],0.00648303,0.00662521
[5],0.00646675,0.00662521
[6],0.00639057,0.00662521
[7],0.00639057,0.00658717
[8],0.00637208,0.00652839
[9],0.00637208,0.00649834
[10],0.00636444,0.00647316
[11],0.00634545,0.00646307
[12],0.00634545,0.00646307
[13],0.00633416,0.00646307
[14],0.00632844,0.00643674
[15],0.00631443,0.00643622
[16],0.00631443,0.00640242
[17],0.00631443,0.0063979
[18],0.00631443,0.00639127
[19],0.00631443,0.00638613
[20],0.00631443,0.00635753
[21],0.00631443,0.00635753
[22],0.00631246,0.00634498
[23],0.00631246,0.00634498
[24],0.00631246,0.00634154
[25],0.00631246,0.00634154
[26],0.00631246,0.00633223
[27],0.00631246,0.0063322
[28],0.00631182,0.00632063
[29],0.00631182,0.00630886
[30],0.00631182,0.0063028
[31],0.00631182,0.00629787
[32],0.00631182,0.00629787
[33],0.00631182,0.00629787
[34],0.00631182,0.00629787
[35],0.00631182,0.00628849
[36],0.00631182,0.00628849
[37],0.00631182,0.00628849
[38],0.00631182,0.00628849
[39],0.00631182,0.00628849
[40],0.00631182,0.00628849
[41],0.00631182,0.00628849
[42],0.00631182,0.00628849
[43],0.00631182,0.00628849
[44],0.00631182,0.00628849
[45],0.00631182,0.00628849
[46],0.00631182,0.00628849
[47],0.00631182,0.00627815
[48],0.00631182,0.00627815
[49],0.00631182,0.00627815
[50],0.00631182,0.00627815
