,Variant_7,Variant_8,Variant_9
[1],0.01214236,0.01210697,0.01221005
[2],0.01205037,0.01206627,0.01215518
[3],0.01205037,0.01201657,0.01210685
[4],0.01198373,0.01196927,0.01202081
[5],0.01193844,0.01190191,0.01193672
[6],0.01191089,0.01186128,0.01187765
[7],0.01191089,0.01172675,0.01176763
[8],0.01184452,0.01171659,0.01174087
[9],0.01178312,0.01165908,0.01168967
[10],0.01177595,0.01164407,0.01162291
[11],0.01176302,0.0116364,0.01159371
[12],0.01172694,0.01163312,0.011546
[13],0.01168283,0.01163312,0.01149502
[14],0.01164541,0.01161923,0.01145285
[15],0.01164541,0.01161758,0.01145136
[16],0.01157547,0.01154402,0.0114053
[17],0.01153424,0.01153291,0.01138602
[18],0.01150613,0.01149994,0.01136997
[19],0.01150613,0.01149994,0.01135069
[20],0.01144156,0.01149994,0.0113084
[21],0.01144156,0.01146203,0.01126233
[22],0.01144156,0.01142597,0.01123049
[23],0.01143469,0.01140289,0.01118383
[24],0.01141734,0.01135026,0.01114369
[25],0.01141734,0.01133744,0.01112824
[26],0.01140102,0.01129133,0.01111104
[27],0.01137706,0.01129133,0.01109785
[28],0.01137512,0.01128581,0.01107435
[29],0.01137362,0.0112845,0.01105757
[30],0.01136173,0.01124823,0.01102114
[31],0.01134895,0.01121409,0.01101642
[32],0.01134895,0.01121409,0.011007
[33],0.01133917,0.01121409,0.01100181
[34],0.0113149,0.01121409,0.01096405
[35],0.0113149,0.01121409,0.01095769
[36],0.01129362,0.01121409,0.01095722
[37],0.01129362,0.01119516,0.01095022
[38],0.01129362,0.011187,0.01093246
[39],0.01128795,0.011187,0.01093246
[40],0.01127474,0.01117419,0.01093246
[41],0.0112699,0.01117252,0.01093246
[42],0.01125697,0.01117252,0.01092455
[43],0.01123977,0.01117252,0.01092302
[44],0.011221,0.01117148,0.01092159
[45],0.01121732,0.01115355,0.01092106
[46],0.01119647,0.01113578,0.01091931
[47],0.01118121,0.01113334,0.010913
[48],0.01118083,0.01112793,0.010913
[49],0.0111433,0.01112793,0.01091122
[50],0.0111433,0.01112793,0.01090473
