,pso_2,sade_2
[1],0.00733143,0.00747772
[2],0.0070109,0.00694384
[3],0.00678035,0.00687802
[4],0.00662521,0.00678362
[5],0.00662521,0.00665963
[6],0.00662521,0.00660574
[7],0.00658717,0.0065966
[8],0.00652839,0.0065966
[9],0.00649834,0.00650462
[10],0.00647316,0.00650462
[11],0.00646307,0.00650462
[12],0.00646307,0.00650462
[13],0.00646307,0.00649137
[14],0.00643674,0.00646602
[15],0.00643622,0.00646602
[16],0.00640242,0.00646602
[17],0.0063979,0.00646602
[18],0.00639127,0.00646602
[19],0.00638613,0.00646602
[20],0.00635753,0.006464
[21],0.00635753,0.006464
[22],0.00634498,0.00645454
[23],0.00634498,0.00645454
[24],0.00634154,0.00645454
[25],0.00634154,0.00642214
[26],0.00633223,0.00641918
[27],0.0063322,0.00641918
[28],0.00632063,0.00641918
[29],0.00630886,0.00641918
[30],0.0063028,0.00641918
[31],0.00629787,0.00641918
[32],0.00629787,0.00641918
[33],0.00629787,0.00641581
[34],0.00629787,0.00641581
[35],0.00628849,0.00641581
[36],0.00628849,0.00641581
[37],0.00628849,0.00641581
[38],0.00628849,0.00641581
[39],0.00628849,0.00641581
[40],0.00628849,0.00641265
[41],0.00628849,0.00641265
[42],0.00628849,0.00641265
[43],0.00628849,0.00641265
[44],0.00628849,0.00641265
[45],0.00628849,0.00641265
[46],0.00628849,0.00641265
[47],0.00627815,0.00641265
[48],0.00627815,0.00641265
[49],0.00627815,0.00641265
[50],0.00627815,0.00641265
[51],0.00583965,0.00596322
[52],0.00583965,0.00596322
[53],0.00583965,0.00596322
[54],0.00583965,0.00596322
[55],0.00583965,0.00596322
[56],0.00583965,0.00596322
[57],0.00583965,0.00596322
[58],0.00583965,0.00596322
[59],0.00583965,0.00596322
[60],0.00583965,0.00596322
[61],0.00583965,0.00596322
[62],0.005835,0.00596322
[63],0.005835,0.00596322
[64],0.005835,0.00596322
[65],0.005835,0.00596322
[66],0.005835,0.00596322
[67],0.005835,0.00596322
[68],0.005835,0.00596322
[69],0.005835,0.00596322
[70],0.00582335,0.00596322
[71],0.00582284,0.00596322
[72],0.00582284,0.00596322
[73],0.00582284,0.00596322
[74],0.00581901,0.00596322
[75],0.00581901,0.00596322
[76],0.00581901,0.00596322
[77],0.00581429,0.00596322
[78],0.00581429,0.00596322
[79],0.00581045,0.00596322
[80],0.00580295,0.00596322
